"file";"features";"insee";"mois";"ntot";"nna";"n0";"mean";"std";"min";"med";"max"
"train";"capeinsSOL0";"6088001";"janvier";4932;0;62;24,3165133374934;64,1942892278478;0;1,27263933602808;545,34965419612
"train";"capeinsSOL0";"6088001";"fevrier";5426;1034;60;20,9422576903997;47,0141121965203;0;2,04607876299266;479,674944650332
"train";"capeinsSOL0";"6088001";"mars";5952;780;406;17,3432309612561;45,0325630632234;0;0,430422006276778;412,058731394047
"train";"capeinsSOL0";"6088001";"avril";5904;220;426;40,6917001590198;89,509863987602;0;2,6563517306494;750,261339037795
"train";"capeinsSOL0";"6088001";"mai";5892;650;476;69,9027805705389;129,994485658658;0;3,95687171854683;1155,02722432086
"train";"capeinsSOL0";"6088001";"juin";2400;0;54;305,465789142377;330,401953313775;0;196,454709773061;2291,194434
"train";"capeinsSOL0";"6088001";"juillet";2852;0;62;348,095999001634;358,909255669993;0;231,359467602362;1629,92518333189
"train";"capeinsSOL0";"6088001";"aout";3720;1380;78;231,103831632822;277,171650898568;0;122,874468482009;1455,93079094139
"train";"capeinsSOL0";"6088001";"septembre";3600;0;64;153,896493012963;233,357276568502;0;23,867022192323;1326,79621929758
"train";"capeinsSOL0";"6088001";"octobre";4026;942;14;94,8290486368809;158,688022893267;0;10,1253021484151;1205,39824855136
"train";"capeinsSOL0";"6088001";"novembre";3960;0;38;54,4093838009248;129,549346010475;0;1,93950159935759;1361,5763161417
"train";"capeinsSOL0";"6088001";"decembre";4092;0;0;14,6333509248043;37,2963665169083;0,00963949069408689;1,10948167647065;352,947696407939
"train";"capeinsSOL0";"31069001";"janvier";4932;0;1084;16,0142037379147;42,2862396560506;0;2,46237663611234;758,314238026305
"train";"capeinsSOL0";"31069001";"fevrier";5448;1034;1124;24,4844163907503;49,556673641315;0;3,50653313558155;445,488927986345
"train";"capeinsSOL0";"31069001";"mars";5952;780;1282;35,9398050791895;72,8674899343843;0;4,86624735840449;618,552380534766
"train";"capeinsSOL0";"31069001";"avril";5904;220;1182;87,006789955272;159,953405662568;0;16,7987024100797;1563,02766704078
"train";"capeinsSOL0";"31069001";"mai";5892;650;862;103,113258379447;185,698926281469;0;29,5064847393696;1943,40359699632
"train";"capeinsSOL0";"31069001";"juin";2400;0;254;199,00439829211;298,970567538365;0;64,3956113002642;1703,82575999449
"train";"capeinsSOL0";"31069001";"juillet";2852;0;368;174,844656097548;264,326566886083;0;63,2953134526677;1515,52763369297
"train";"capeinsSOL0";"31069001";"aout";3720;1380;398;179,665180906563;265,348224793877;0;77,3612044917138;2151,25915326346
"train";"capeinsSOL0";"31069001";"septembre";3600;0;902;124,924119682462;219,094980471753;0;29,0117739808156;1303,59818173367
"train";"capeinsSOL0";"31069001";"octobre";4026;942;866;67,3245943463157;158,470982326702;0;8,84039775747709;1625,80477293757
"train";"capeinsSOL0";"31069001";"novembre";3960;0;1154;29,8157257385565;65,4994960429362;0;3,65803913406261;549,305716114868
"train";"capeinsSOL0";"31069001";"decembre";4092;0;1476;6,18390125957066;13,5925266065394;0;0,312118946966404;142,673477253544
"train";"capeinsSOL0";"33281001";"janvier";4932;0;754;30,7932912302245;59,8257701035235;0;5,18733860715261;462,008591572792
"train";"capeinsSOL0";"33281001";"fevrier";5448;1034;766;38,8646046333666;67,0356503573772;0;9,39927802331667;580,555426773302
"train";"capeinsSOL0";"33281001";"mars";5950;780;1074;36,6452098008201;73,0608471937547;0;5,84829257189214;611,782330931891
"train";"capeinsSOL0";"33281001";"avril";5902;220;1146;73,1687120845704;133,375815807347;0;12,6637944720749;1167,0020554507
"train";"capeinsSOL0";"33281001";"mai";5892;650;562;92,6339217730466;148,809194963654;0;31,453796370472;1535,58060844403
"train";"capeinsSOL0";"33281001";"juin";2400;0;304;136,230035993408;230,703434627191;0;34,4188446280203;1668,84434036303
"train";"capeinsSOL0";"33281001";"juillet";2852;0;224;155,931070080734;235,812728959163;0;58,4080576663432;1732,09384391941
"train";"capeinsSOL0";"33281001";"aout";3720;1380;298;157,29301741503;254,021323067278;0;52,6903701149961;1542,31466677112
"train";"capeinsSOL0";"33281001";"septembre";3598;0;916;94,5499211106977;167,040864745928;0;23,0069266649759;1221,32533237257
"train";"capeinsSOL0";"33281001";"octobre";4026;942;796;52,1960601492832;111,766843518546;0;6,99013931236093;893,464084014756
"train";"capeinsSOL0";"33281001";"novembre";3960;0;674;37,6695134962477;72,5605316837912;0;5,78995330419669;549,755002186387
"train";"capeinsSOL0";"33281001";"decembre";4090;0;1290;7,70023214524676;18,9108287950499;0;0,50081851431599;202,889590305748
"train";"capeinsSOL0";"35281001";"janvier";4932;0;586;27,6629351353919;57,2611211102083;0;4,44879332401434;591,48423141898
"train";"capeinsSOL0";"35281001";"fevrier";5440;1034;728;35,2564600958707;71,6193773999577;0;6,43288255286083;620,453588488109
"train";"capeinsSOL0";"35281001";"mars";5952;780;1290;25,0626214291628;55,3278507513869;0;3,20780071566538;568,366154662545
"train";"capeinsSOL0";"35281001";"avril";5904;220;1356;47,2304308621766;101,842415132537;0;7,05292124298656;1074,1914569913
"train";"capeinsSOL0";"35281001";"mai";5892;650;906;66,1978725525576;116,395188471516;0;15,8789018352692;1093,58162748259
"train";"capeinsSOL0";"35281001";"juin";2400;0;870;52,7588924398314;120,694529554627;0;2,29914966375144;1062,64187504376
"train";"capeinsSOL0";"35281001";"juillet";2852;0;640;84,7903148260817;159,686217783337;0;16,3613515275976;1198,95661122607
"train";"capeinsSOL0";"35281001";"aout";3720;1380;428;96,2923942431664;191,704045634348;0;20,592726751423;1375,81037941628
"train";"capeinsSOL0";"35281001";"septembre";3600;0;1034;53,6778579362095;127,532682898692;0;6,07387586930038;1286,89949322266
"train";"capeinsSOL0";"35281001";"octobre";4026;942;716;26,2420140917017;53,5060264757402;0;4,83720425478901;474,096847981519
"train";"capeinsSOL0";"35281001";"novembre";3960;0;542;21,7954667627608;48,9248403403692;0;5,15550440507448;494,455918650364
"train";"capeinsSOL0";"35281001";"decembre";4092;0;832;8,93798551609916;20,1782619466682;0;1,50281767661791;216,215560162942
"train";"capeinsSOL0";"59343001";"janvier";4932;0;1194;11,8638343790472;29,6136184794992;0;1,42100574791238;325,926598704363
"train";"capeinsSOL0";"59343001";"fevrier";5448;1034;980;17,9262731751175;38,9485942785479;0;2,94875783449612;406,680544326201
"train";"capeinsSOL0";"59343001";"mars";5952;780;1528;20,2999866981916;47,7676468947675;0;2,27608347933796;543,532390181153
"train";"capeinsSOL0";"59343001";"avril";5904;220;1282;54,6456670923539;107,798802193087;0;10,7176664667313;1053,78034236065
"train";"capeinsSOL0";"59343001";"mai";5892;650;768;75,4241707090982;141,668066377229;0;18,2331213069119;1256,73600037142
"train";"capeinsSOL0";"59343001";"juin";2400;0;682;76,1512978074714;189,054183265166;0;5,46093711252069;1575,57431687305
"train";"capeinsSOL0";"59343001";"juillet";2852;0;482;113,242290338707;213,340737990097;0;28,2099425098548;1647,15739890965
"train";"capeinsSOL0";"59343001";"aout";3720;1380;372;122,674793183363;262,386512761338;0;30,0485972350134;2448,67211783967
"train";"capeinsSOL0";"59343001";"septembre";3600;0;858;55,4114513535213;122,912170080027;0;10,1074945973669;1003,66827499456
"train";"capeinsSOL0";"59343001";"octobre";4026;942;802;20,6397534911255;54,2457584499934;0;3,3573399167058;741,868140456743
"train";"capeinsSOL0";"59343001";"novembre";3960;0;818;13,2525903700517;24,8512045927674;0;2,85680417331336;253,231792958261
"train";"capeinsSOL0";"59343001";"decembre";4092;0;1340;6,20014503552708;18,55191008148;0;0,483044789155426;216,671633647802
"train";"capeinsSOL0";"67124001";"janvier";4932;0;1672;6,58510445132348;22,7599560020595;0;0,363238183665114;310,856365149839
"train";"capeinsSOL0";"67124001";"fevrier";5448;1034;1480;10,4086779046269;27,5153177410986;0;0,621347941196319;299,188597093099
"train";"capeinsSOL0";"67124001";"mars";5952;780;1844;18,1779233224458;41,7977944705566;0;1,24172018429082;446,859080879953
"train";"capeinsSOL0";"67124001";"avril";5904;220;1394;61,8296745073757;118,25034813227;0;10,8123995191999;946,802525802987
"train";"capeinsSOL0";"67124001";"mai";5892;650;782;97,2686689233954;168,663848869743;0;26,8687763188508;1417,41227291014
"train";"capeinsSOL0";"67124001";"juin";2400;0;508;121,973096260532;194,948327670431;0;33,970656381688;1250,13508781139
"train";"capeinsSOL0";"67124001";"juillet";2852;0;354;194,488118057586;292,848443164023;0;62,5682989712801;1934,30905076626
"train";"capeinsSOL0";"67124001";"aout";3720;1380;362;170,155095174402;243,3976373149;0;54,1864209790938;1562,25018204842
"train";"capeinsSOL0";"67124001";"septembre";3600;0;854;84,1946229953878;177,594266000546;0;12,5394580145365;1244,46983590421
"train";"capeinsSOL0";"67124001";"octobre";4026;942;692;34,9328502999721;83,1551782523876;0;5,25221270487653;874,624901706811
"train";"capeinsSOL0";"67124001";"novembre";3960;0;1002;7,29726049035954;21,161920347255;0;1,26025496789953;328,176097447751
"train";"capeinsSOL0";"67124001";"decembre";4090;0;1578;2,44876944221947;6,39346324933148;0;0,151414587162432;78,8954679261652
"train";"capeinsSOL0";"75114001";"janvier";4932;0;574;13,03794396493;28,9712307128153;0;2,79553473750638;269,013785859922
"train";"capeinsSOL0";"75114001";"fevrier";5448;1034;404;19,8368196848942;40,8606564299018;0;4,74480723018495;345,13090077833
"train";"capeinsSOL0";"75114001";"mars";5952;780;376;22,9378538970294;44,6850098272666;0;5,31629065953516;555,784845177859
"train";"capeinsSOL0";"75114001";"avril";5904;220;94;52,0806531587452;84,0006930345222;0;14,8037858244013;945,813972612355
"train";"capeinsSOL0";"75114001";"mai";5892;650;64;77,0146523468657;126,93383537124;0;23,5655442624627;1183,50045345078
"train";"capeinsSOL0";"75114001";"juin";2400;0;44;81,9718790871279;172,164855998635;0;13,3330020531181;1390,36736208294
"train";"capeinsSOL0";"75114001";"juillet";2852;0;32;111,099437731244;173,88230522025;0;36,4950406401262;1134,57838779628
"train";"capeinsSOL0";"75114001";"aout";3720;1380;52;118,787828974219;184,411445006525;0;36,9200828366372;931,481720254438
"train";"capeinsSOL0";"75114001";"septembre";3600;0;202;52,705092170763;103,127130654482;0;11,8444220983376;1018,06130853545
"train";"capeinsSOL0";"75114001";"octobre";4026;942;320;22,6276271796952;55,0215481750196;0;4,82126973383937;872,911796849868
"train";"capeinsSOL0";"75114001";"novembre";3960;0;520;12,3328427029536;22,6291118302982;0;4,23418995095837;233,911196447468
"train";"capeinsSOL0";"75114001";"decembre";4092;0;734;6,83548296669467;14,0019147187789;0;2,43348272387989;191,320273110046
"train";"ciwcH20";"6088001";"janvier";4932;0;4932;0;0;0;0;0
"train";"ciwcH20";"6088001";"fevrier";5426;0;5426;0;0;0;0;0
"train";"ciwcH20";"6088001";"mars";5952;0;5952;0;0;0;0;0
"train";"ciwcH20";"6088001";"avril";5904;12;5892;0;0;0;0;0
"train";"ciwcH20";"6088001";"mai";5892;0;5892;0;0;0;0;0
"train";"ciwcH20";"6088001";"juin";2400;0;2400;0;0;0;0;0
"train";"ciwcH20";"6088001";"juillet";2852;0;2852;0;0;0;0;0
"train";"ciwcH20";"6088001";"aout";3720;0;3720;0;0;0;0;0
"train";"ciwcH20";"6088001";"septembre";3600;0;3600;0;0;0;0;0
